date,費半_開盤價,費半_最高價,費半_最低價,費半_收盤價,費半_SMA5,費半_SMA10
'2013/09/27 00:00,492.15,493.1,489.78,490.81,493.298,493.2163636
'2013/09/30 00:00,485.41,492.63,484.55,490.83,493.206,493.4527273
'2013/10/01 00:00,491.49,496.86,491.45,495.77,493.414,493.9454545
'2013/10/02 00:00,492.67,495.43,491.9,495.1,493.444,494.1
'2013/10/03 00:00,495.37,497.48,488.91,493.8,493.262,493.7481818
'2013/10/04 00:00,494.09,498.86,493.89,497.72,494.644,493.8963636
'2013/10/07 00:00,492.79,498.7,492.21,495.09,495.496,494.0727273
'2013/10/08 00:00,495.63,496.59,485.32,486.82,493.706,493.6663636
'2013/10/09 00:00,487.89,488.64,480.13,485.11,491.708,492.7918182
'2013/10/10 00:00,490.03,497.03,489.94,496.48,492.244,492.9309091
'2013/10/11 00:00,493.52,498.92,492.74,497.38,492.176,493.1736364
